p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.858083408050085,0.984,0.123,0,0,Mog
0,4.789199631794191,0.917,0.089,0,0,Mag
0,4.478055862077468,0.91,0.112,0,0,Aspa
0,4.511736145848331,0.992,0.199,0,0,Ermn
0,4.524890618780134,1,0.276,0,0,Cldn11
0,3.212619455793063,0.985,0.272,0,0,Pllp
0,2.9763021125240456,0.992,0.282,0,0,Apod
0,1.872435982591004,0.83,0.275,0,0,Ptgds
0,2.4081846009450905,0.699,0.196,0,0,Folh1
0,2.341801275312893,0.867,0.394,0,0,Cers2
0,1.7242864752784077,0.854,0.408,0,0,Phgdh
0,2.3353174208072245,0.648,0.238,0,0,B3galt5
0,1.8704222151035577,0.664,0.271,0,0,St6galnac3
0,2.0439087296009584,0.958,0.577,0,0,Lap3
0,1.7072658980639661,0.682,0.326,0,0,Csf1
0,2.8972064269115276,0.467,0.118,0,0,Plin4
0,1.767873374712837,0.558,0.21,0,0,Elmo1
0,1.896629499421872,0.613,0.286,0,0,Elovl1
0,3.359422347330984,1,0.678,0,0,Gatm
0,1.765479640102889,0.92,0.604,0,0,Taldo1
0,1.027314483935211,0.836,0.523,0,0,Srebf1
0,1.6230513050577433,0.924,0.633,0,0,Bpgm
0,1.427722942674821,0.757,0.469,0,0,Abcg1
0,1.407009713767712,0.895,0.615,0,0,Rhob
0,1.2876060964323197,0.683,0.435,0,0,Degs1
0,0.9755286419359548,0.909,0.661,0,0,Slc32a1
0,0.2719407357198571,0.934,0.728,0,0,Cd63
0,1.180039849414497,0.426,0.223,0,0,Myo1e
0,1.6417700835772422,0.32,0.122,0,0,Pla2g4a
0,1.182155733864561,0.242,0.081,0,0,Tgfbi
0,0.6772501759583752,0.526,0.371,0,0,Acadl
0,0.984213674600373,0.501,0.346,0,0,Hmgcl
0,1.958160308905764,0.219,0.074,0,0,Plin3
0,1.2271450782630013,0.994,0.852,0,0,Bin1
0,1.2564899152161866,0.317,0.179,0,0,G6pd2
0,0.2110599431659471,0.614,0.477,0,0,Abca1
0,0.6886570058482158,0.607,0.474,0,0,Cerk
0,1.6819618292822578,0.208,0.078,0,0,Aldh3b1
0,0.17259694147963156,0.93,0.809,0,0,Gfap
0,0.25192280613788,0.923,0.807,0,0,Lpgat1
0,0.21797468140095855,0.833,0.726,0,0,Bhlhe41
0,0.5706246857623181,0.68,0.578,0,0,Lta4h
0,2.6668393256037537,1,0.9,0,0,Mbp
0,0.926952534766402,0.261,0.167,0,0,Acaa1a
0,0.20613202841826306,0.818,0.752,0,0,Hadhb
0,1.0721636564757118,0.999,0.935,0,0,Glul
0,0.20746646687413062,0.968,0.906,0,0,Tjp1
0,0.5034522615401679,0.5,0.439,0,0,Bace1
0,0.7937662016903588,0.178,0.121,0,0,Vldlr
0,0.5518421606213413,0.992,0.935,0,0,Cd81
0,0.3683334083591807,0.622,0.567,0,0,Nr1h2
0,0.34838022693392023,0.98,0.925,0,0,Ftl1
0,0.2787293111034488,0.908,0.857,0,0,Echs1
0,0.6251220433470461,0.983,0.932,0,0,Tkt
0,0.4314098840452415,0.548,0.498,0,0,Acaca
0,0.2500289277737595,0.792,0.743,0,0,Hadha
0,1.0468809883388994,0.077,0.038,0,0,Camp
0,1.011163317539947,0.999,0.961,0,0,Prdx1
0,0.1533386168423223,1,0.965,0,0,App
0,1.1244226328971414,0.064,0.029,0,0,Cd247
0,0.18071095756491729,0.958,0.926,0,0,Fabp5
0,0.40404648148461586,1,1,0,0,Ubc
5.2512862e-316,0.8788784750305996,0.063,0.032,2.52061737685e-313,0,Ms4a4b
4.9410013769639924e-259,0.46422758030424793,0.414,0.368,2.3716806609427164e-256,0,Pycr2
3.4887037503698184e-244,0.37436428014330836,0.405,0.35,1.674577800177513e-241,0,Lipa
3.2894041845888525e-242,0.5931088798289306,0.263,0.213,1.5789140086026492e-239,0,Ebp
1.437373321306018e-234,0.7245490902477543,0.093,0.058,6.899391942268887e-232,0,Cpt1b
2.813096501595008e-208,0.4045815815285847,0.137,0.096,1.3502863207656038e-205,0,Pou3f1
5.4611743481287595e-194,0.5399829917910437,0.069,0.042,2.6213636871018044e-191,0,Tdo2
1.3645103469539548e-183,0.1470304715584354,0.843,0.795,6.549649665378983e-181,0,Fasn
6.358043713353865e-180,0.6751235943625233,0.1,0.068,3.0518609824098554e-177,0,Adamts2
2.4080261666590038e-169,0.1451767481223027,0.451,0.392,1.1558525599963218e-166,0,Serpina3n
9.549165693290486e-161,0.27672571985892946,0.457,0.421,4.583599532779433e-158,0,Prps2
1.9246388731121418e-154,0.2702185547100396,0.463,0.423,9.23826659093828e-152,0,Cat
6.315020012945446e-141,0.32483417038866746,0.447,0.418,3.031209606213814e-138,0,Adh5
1.8324699547249022e-134,0.31029619423521626,0.219,0.179,8.795855782679531e-132,0,Ifit2
1.8809978480568748e-129,0.14906452422124,0.674,0.637,9.028789670672999e-127,0,Pcx
6.204455208563925e-105,0.22723070906608095,0.582,0.57,2.978138500110684e-102,0,Cstb
1.4447466830407595e-102,0.35518282210511876,0.345,0.317,6.934784078595645e-100,0,Acsl1
1.0634959971881313e-97,0.29972073656947806,0.044,0.028,5.10478078650303e-95,0,Mki67
1.4449775192867525e-68,0.522983263680592,0.03,0.019,6.935892092576412e-66,0,Nkg7
1.5798207646289085e-61,0.27189099750559853,0.185,0.16,7.583139670218761e-59,0,Dpyd
5.588525403467288e-57,0.13332379326480304,0.066,0.05,2.682492193664298e-54,0,C3
5.739978636997209e-33,0.24541785268199523,0.351,0.343,2.7551897457586602e-30,0,Ttr
1.121996818088771e-24,0.17338433943345521,0.435,0.433,5.3855847268261005e-22,0,Aldh9a1
9.652686990076878e-16,0.24025340197946843,0.045,0.038,4.633289755236902e-13,0,Apoc2
1.4731747992276931e-15,0.18599550693437905,0.321,0.317,7.071239036292927e-13,0,Sptlc2
1.8183685685629344e-9,0.15894756445557734,0.17,0.163,8.728169129102086e-7,0,Ppard
1.8202193000488575e-4,0.10752678628502021,0.356,0.382,0.08737052640234516,0,Coasy
0,1.5287240163742501,0.808,0.35,0,1,Cnr1
0,1.6496513512461215,0.929,0.506,0,1,Grin2a
0,1.267622711090222,0.92,0.507,0,1,Dgat2
0,1.5067949143153534,0.957,0.554,0,1,Grin2b
0,1.998463381100902,0.498,0.129,0,1,Fezf2
0,1.3529048546932667,0.623,0.282,0,1,Egr1
0,1.8302760590737752,0.953,0.612,0,1,Hmgcr
0,0.45900160339961404,0.808,0.47,0,1,Tnr
0,1.188818620474926,0.949,0.673,0,1,Pfkl
0,1.5847569429594612,0.987,0.712,0,1,Opcml
0,1.3069933887103402,0.949,0.694,0,1,Hmgcs1
0,1.1935078247240547,0.97,0.721,0,1,Acsl4
0,0.8424337912549247,0.807,0.559,0,1,Sc5d
0,0.6275894671833495,0.713,0.474,0,1,Hs2st1
0,0.6738989443784323,0.724,0.487,0,1,Gpat4
0,2.1664439044293164,1,0.763,0,1,Slc17a7
0,1.2745293780983582,0.946,0.714,0,1,Pfkp
0,1.373297496922682,0.374,0.146,0,1,Ldlr
0,1.1689038364262816,0.959,0.74,0,1,Msmo1
0,0.6257436046111727,0.602,0.391,0,1,Cbr1
0,0.6766788723101044,0.904,0.701,0,1,Adss
0,0.5710276807480886,0.738,0.541,0,1,Kdsr
0,0.8699017161933387,0.657,0.462,0,1,Fut9
0,1.5565358890816845,0.994,0.801,0,1,Chst1
0,0.4976588179350025,0.734,0.543,0,1,Dgkd
0,0.6191518247765805,0.888,0.7,0,1,Chka
0,0.5294940104240433,0.678,0.49,0,1,Neu1
0,0.4840263429742131,0.612,0.429,0,1,Bace1
0,1.0037224489745622,0.997,0.816,0,1,Got1
0,0.6466296464167876,0.504,0.324,0,1,Pla2g12a
0,0.5319197542856586,0.542,0.366,0,1,Nt5c
0,0.4543259177875815,0.699,0.523,0,1,Pank3
0,0.6265723080782335,0.933,0.759,0,1,Pdhb
0,0.6438846233067929,0.758,0.586,0,1,Numb
0,0.39980795479544934,0.723,0.551,0,1,Acss2
0,0.704428526136032,0.374,0.206,0,1,Dcx
0,0.43485460173557045,0.8,0.634,0,1,Ctps2
0,0.5840276480678017,0.87,0.707,0,1,Comt
0,1.5224609841620207,0.996,0.834,0,1,Fdft1
0,0.3804894490912437,0.79,0.63,0,1,Rxrb
0,0.40343095897539527,0.738,0.582,0,1,Pmm1
0,0.3557865188021845,0.585,0.429,0,1,Klf6
0,0.4731548077879565,0.835,0.68,0,1,Idh1
0,0.6682957621538043,0.92,0.77,0,1,Me1
0,0.77417647810358,0.958,0.808,0,1,Lpgat1
0,0.5068150270832319,0.914,0.765,0,1,Dpm1
0,1.0300932957714948,0.948,0.799,0,1,Sorl1
0,0.28772772344596914,0.817,0.669,0,1,Gmps
0,0.4043345610337123,0.808,0.665,0,1,Slc33a1
0,0.3864872877728539,0.812,0.675,0,1,Jund
0,0.514838339142681,0.921,0.789,0,1,Fasn
0,0.3997372997784516,0.915,0.786,0,1,Auh
0,0.17275630014684673,0.739,0.612,0,1,Hacd2
0,0.47170002777288733,0.909,0.783,0,1,Tubb2b
0,0.5192186287029346,0.962,0.837,0,1,Pfkm
0,1.4620820692635426,0.211,0.086,0,1,Syt6
0,0.40170246859277303,0.918,0.795,0,1,Smpd1
0,0.39342319739598364,0.392,0.27,0,1,Abca7
0,0.23779122153410293,0.765,0.643,0,1,Cndp2
0,1.3217616520037982,0.997,0.875,0,1,Ldha
0,0.39286183324115465,0.922,0.802,0,1,B3gat3
0,0.24309442811678783,0.552,0.433,0,1,Pomgnt1
0,0.42109396903051416,0.789,0.67,0,1,P4ha1
0,0.3576008450070234,0.978,0.86,0,1,Bin1
0,0.6994953729746811,0.975,0.859,0,1,Srebf2
0,0.7315999979222338,0.984,0.876,0,1,Pdha1
0,0.42820640972584134,0.292,0.185,0,1,Lpl
0,0.4556012552889852,0.954,0.849,0,1,Dld
0,0.569970799708406,0.973,0.869,0,1,Ndufs1
0,1.7570247457345118,0.193,0.091,0,1,Pou3f1
0,0.3994481108596528,0.968,0.869,0,1,Tecr
0,0.7285794520353974,0.998,0.9,0,1,Got2
0,1.2703391727807358,0.164,0.067,0,1,Junb
0,0.5536097791039976,0.951,0.858,0,1,Adam10
0,0.3614129000837798,0.951,0.859,0,1,Dlat
0,0.32469856718767987,0.93,0.839,0,1,Ndufv2
0,0.6032782872719247,0.989,0.899,0,1,Etnk1
0,0.3900667728671987,0.992,0.903,0,1,Tmx4
0,0.22012333375307636,0.938,0.85,0,1,Acat1
0,0.835350918014061,0.997,0.909,0,1,Mdh2
0,0.4579941878091851,0.961,0.875,0,1,Rpn1
0,0.40532939522664413,0.944,0.862,0,1,Man2a2
0,1.117133366216168,1,0.92,0,1,Gls
0,0.9951518017375114,0.998,0.92,0,1,Hk1
0,0.49250693278490076,0.976,0.898,0,1,Sdhb
0,0.32243881331118684,0.935,0.866,0,1,Acly
0,0.32799258141110865,0.921,0.853,0,1,Acta2
0,0.36167967712059146,0.962,0.895,0,1,Ptges3
0,0.37460378756490487,0.983,0.923,0,1,Ogdh
0,0.6000524005444441,0.997,0.941,0,1,Ids
0,0.9683940687044545,1,0.953,0,1,Snap25
0,0.535598676312552,0.996,0.955,0,1,Oxct1
0,1.0813677029351823,1,0.966,0,1,App
0,0.4259027883104851,0.998,0.972,0,1,Cs
0,0.6622939230689191,1,0.981,0,1,Pgam1
0,0.38268904075619936,0.999,0.98,0,1,Uqcrc1
0,0.5872666395603137,1,0.983,0,1,Mdh1
0,0.3390914901877675,1,0.985,0,1,Cpe
0,0.27718961446309853,1,0.993,0,1,Sdha
0,0.47765829093687806,1,0.997,0,1,Tmsb4x
0,0.6304375563302824,1,0.998,0,1,Pkm
0,0.22164221708440213,1,1,0,1,Gapdh
0,0.34346553861049856,1,1,0,1,Psap
1.890266e-318,0.17646959865456713,0.761,0.654,9.0732745e-316,1,Abhd17a
5.2358e-318,0.11758974553389856,0.983,0.957,2.51318467e-315,1,Uba52
9.92643626033116e-310,0.16429810023130687,0.526,0.415,4.7646894049589554e-307,1,Acad8
1.378137437786055e-299,0.12288882374374782,0.713,0.606,6.615059701373065e-297,1,Mt3
1.3086850078727121e-297,0.20915439697691612,0.606,0.493,6.281688037789018e-295,1,Acaca
4.37525019499781e-295,0.1317460846821219,0.91,0.842,2.1001200935989487e-292,1,Dlst
1.9019471157606283e-278,0.1616272105295743,0.648,0.531,9.129346155651016e-276,1,Gclc
3.1092649828168986e-267,0.3582285115272097,0.264,0.19,1.4924471917521112e-264,1,Polr1a
9.751113021752888e-263,0.35600214349630765,0.352,0.271,4.680534250441386e-260,1,Pgm2
1.62984566025306e-238,0.18180314062778752,0.561,0.457,7.823259169214688e-236,1,Ext2
2.928509349555532e-228,0.28870212736877277,0.67,0.63,1.4056844877866555e-225,1,Bhlhe40
5.180674836092744e-226,0.6768936472711466,0.098,0.058,2.486723921324517e-223,1,Fosb
1.0244403467086401e-221,0.2729073118886023,0.325,0.249,4.917313664201473e-219,1,St6galnac4
8.075095650900058e-219,0.1546236968130763,0.473,0.376,3.8760459124320275e-216,1,Ophn1
6.966000725968684e-201,0.21707459839154586,0.395,0.314,3.3436803484649683e-198,1,Alg5
5.221755671342963e-193,0.15982823202806284,0.397,0.313,2.506442722244622e-190,1,Acsl1
1.9313702050932315e-182,0.1730244638508357,0.434,0.35,9.270576984447512e-180,1,St3gal2
3.215453876199608e-177,0.14503079171054023,0.507,0.417,1.543417860575812e-174,1,Impdh2
8.24510262456533e-158,0.2821531474760912,0.224,0.169,3.957649259791358e-155,1,Hilpda
1.0931757358123216e-153,1.2993267705543317,0.046,0.024,5.2472435318991436e-151,1,Oprk1
2.4509077946590904e-145,0.29593494296894995,0.214,0.163,1.1764357414363634e-142,1,Dad1
2.1187393542815665e-133,0.10760225093477771,0.555,0.469,1.016994890055152e-130,1,Ptdss1
5.228499064516811e-112,0.1180196016484667,0.41,0.343,2.5096795509680693e-109,1,Gsr
1.3133790318453735e-95,0.32329894971581696,0.119,0.088,6.304219352857793e-93,1,Pparg
8.907688218844748e-95,0.17871165839083325,0.24,0.194,4.275690345045479e-92,1,Pgls
7.9872630750412515e-84,0.13334280942860932,0.262,0.216,3.8338862760198006e-81,1,Ebp
7.835012241068754e-81,0.22084547714137148,0.159,0.125,3.760805875713002e-78,1,Hkdc1
1.7114026690870317e-78,0.3048563447623529,0.116,0.088,8.214732811617752e-76,1,H2az1
1.1295373831178702e-71,0.14602425662816954,0.23,0.19,5.421779438965777e-69,1,Dgat1
1.7942948412381468e-69,0.17510395707644033,0.183,0.148,8.612615237943105e-67,1,Jun
6.698967348038424e-62,0.10970156634703687,0.475,0.431,3.2155043270584434e-59,1,Chst11
1.0450025245385257e-59,0.45467664029297294,0.078,0.058,5.016012117784923e-57,1,Fos
3.74604873974419e-49,0.3770135526760341,0.068,0.051,1.7981033950772113e-46,1,Csgalnact1
1.8580439529570593e-35,0.35827722051731836,0.059,0.046,8.918610974193885e-33,1,Mif
2.6603299714808674e-31,0.2523498450742355,0.191,0.22,1.2769583863108163e-28,1,Reln
2.909395960802963e-25,0.1650608244199243,0.085,0.071,1.3965100611854223e-22,1,Adamts2
3.8530926844790944e-19,0.340168869558096,0.056,0.046,1.8494844885499653e-16,1,Plpp4
2.96577596531948e-16,0.3675002571741466,0.026,0.02,1.4235724633533502e-13,1,Aldob
1.683817521420418e-15,0.14584218527653015,0.055,0.046,8.082324102818006e-13,1,Tcap
1.9653189277672962e-7,0.1107103122108537,0.025,0.021,9.433530853283022e-5,1,Mmp9
0,3.5478040997512252,0.932,0.244,0,2,Lamp5
0,2.725466292641201,0.791,0.271,0,2,Egr1
0,1.299796864337529,0.963,0.51,0,2,Grin2a
0,1.2552926604981498,0.951,0.561,0,2,Grin2b
0,1.7989801820793632,0.736,0.357,0,2,Cux2
0,0.40243580348542995,0.715,0.366,0,2,Cnr1
0,1.0857885454595595,0.804,0.469,0,2,Hs2st1
0,2.759732273407198,0.388,0.063,0,2,Pparg
0,1.6117706250520183,0.927,0.606,0,2,Bhlhe40
0,1.6915691104687351,0.514,0.196,0,2,Stard8
0,0.34459695744231605,0.773,0.479,0,2,Tnr
0,1.4875885716054924,0.712,0.42,0,2,Calb1
0,1.2720962910619034,0.487,0.198,0,2,Dcx
0,0.516907606070535,0.813,0.524,0,2,Dgat2
0,1.1821816569936332,0.864,0.578,0,2,Numb
0,1.1896782718234975,0.988,0.716,0,2,Opcml
0,0.8052356702753212,0.726,0.459,0,2,Fut9
0,1.9475834029131738,0.368,0.106,0,2,Hkdc1
0,0.957325368644484,0.965,0.716,0,2,Pfkp
0,0.9549023947561761,0.964,0.726,0,2,Acsl4
0,0.6463855017792227,0.779,0.542,0,2,Dgkd
0,0.7479143555489713,0.723,0.489,0,2,Neu1
0,1.6571276641267305,1,0.767,0,2,Slc17a7
0,2.776260741721201,0.301,0.075,0,2,Rspo1
0,0.777090963538983,0.852,0.627,0,2,Hmgcr
0,0.5981245177976144,0.711,0.492,0,2,Gpat4
0,0.6471714883194928,0.838,0.633,0,2,Ctps2
0,0.4947911622742417,0.886,0.684,0,2,Pfkl
0,0.6841620933605386,0.899,0.704,0,2,Adss
0,1.5147578831267048,0.298,0.106,0,2,Otof
0,0.5707055972737682,0.588,0.396,0,2,Cbr1
0,1.1883541562990163,0.996,0.804,0,2,Chst1
0,0.5966080501466084,0.888,0.703,0,2,Chka
0,2.0898977246836528,0.242,0.061,0,2,Junb
0,0.555302384347865,0.548,0.368,0,2,Nt5c
0,0.8071882851516698,0.996,0.819,0,2,Got1
0,0.6225122714404108,0.884,0.708,0,2,Comt
0,0.5404098428642097,0.824,0.65,0,2,Abhd17a
0,0.46278739895081855,0.602,0.43,0,2,Pomgnt1
0,0.67937837104371,0.875,0.705,0,2,Hmgcs1
0,0.5675697088768821,0.842,0.674,0,2,Jund
0,0.3559858302869555,0.695,0.528,0,2,Gclc
0,0.49679709349036005,0.926,0.762,0,2,Pdhb
