p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,3.732195136445636,0.982,0.125,0,0,Mog
0,4.593623157555356,0.944,0.088,0,0,Mag
0,4.0070347217223095,0.927,0.112,0,0,Aspa
0,3.5568084663334036,0.989,0.203,0,0,Ermn
0,3.431668806397078,0.997,0.266,0,0,Cldn11
0,2.0914344782236594,0.983,0.274,0,0,Apod
0,3.360384000468322,0.978,0.27,0,0,Pllp
0,1.593515473082114,0.827,0.277,0,0,Ptgds
0,2.3536864773202777,0.718,0.196,0,0,Folh1
0,2.4350097875498484,0.88,0.414,0,0,Cers2
0,1.7381133310503791,0.852,0.42,0,0,Phgdh
0,2.3346016063102804,0.663,0.24,0,0,B3galt5
0,1.9149213413344972,0.682,0.271,0,0,St6galnac3
0,1.8724161326368178,0.589,0.208,0,0,Elmo1
0,2.2242201860464452,0.959,0.601,0,0,Lap3
0,2.1056781803299165,0.636,0.287,0,0,Elovl1
0,1.6121418958019533,0.674,0.333,0,0,Csf1
0,2.675454038314646,0.465,0.124,0,0,Plin4
0,3.7308494128376366,0.999,0.671,0,0,Gatm
0,1.1158983327697893,0.842,0.544,0,0,Srebf1
0,1.4663036394603188,0.78,0.486,0,0,Abcg1
0,1.9197844615386404,0.932,0.641,0,0,Taldo1
0,1.6975343570398165,0.941,0.678,0,0,Bpgm
0,1.5405901480287034,0.913,0.654,0,0,Rhob
0,1.2722185354648516,0.714,0.459,0,0,Degs1
0,1.3047103783135139,0.88,0.66,0,0,Slc32a1
0,1.2038715976374852,0.446,0.228,0,0,Myo1e
0,1.076530690007,0.539,0.346,0,0,Hmgcl
0,0.8503489490643581,0.566,0.377,0,0,Acadl
0,1.5121326430986368,0.315,0.127,0,0,Pla2g4a
0,0.2918143716263457,0.93,0.753,0,0,Cd63
0,0.9806126610288896,0.252,0.08,0,0,Tgfbi
0,0.8150883749176815,0.661,0.491,0,0,Cerk
0,1.3314434484083484,0.348,0.182,0,0,G6pd2
0,2.063908994428958,0.23,0.074,0,0,Plin3
0,1.7668449326606244,0.226,0.077,0,0,Aldh3b1
0,0.2076783190974152,0.632,0.495,0,0,Abca1
0,1.5441944403401506,0.993,0.863,0,0,Bin1
0,0.5642890145886639,0.751,0.63,0,0,Lta4h
0,0.25967066078708756,0.876,0.76,0,0,Bhlhe41
0,0.4679761939986391,0.722,0.611,0,0,Nr1h2
0,0.8707910610402552,0.278,0.173,0,0,Acaa1a
0,0.3528842078444656,0.957,0.853,0,0,Lpgat1
0,3.1932873476369403,1,0.9,0,0,Mbp
0,0.269289676281943,0.885,0.79,0,0,Gfap
0,0.463147973456459,0.603,0.512,0,0,Acaca
0,0.48101907033625707,0.529,0.44,0,0,Bace1
0,0.24753442486673727,0.781,0.694,0,0,Pcx
0,0.12300723065438612,0.872,0.786,0,0,Gstm1
0,0.4363382805807772,0.439,0.354,0,0,Lipa
0,0.40543527914370125,0.893,0.808,0,0,Hadha
0,0.38746740566349636,0.696,0.612,0,0,Cstb
0,0.5258527270953703,0.45,0.368,0,0,Pycr2
