p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,4.669382227225542,0.95,0.096,0,0,Mag
0,3.773665097371647,0.984,0.135,0,0,Mog
0,4.017839684815073,0.932,0.12,0,0,Aspa
0,3.6169762994883072,0.99,0.197,0,0,Ermn
0,3.5063698980680007,0.998,0.275,0,0,Cldn11
0,2.1511115559419274,0.984,0.285,0,0,Apod
0,3.345386369417116,0.979,0.282,0,0,Pllp
0,1.5034212421537854,0.825,0.286,0,0,Ptgds
0,2.2933001953126784,0.721,0.204,0,0,Folh1
0,2.443029162624213,0.883,0.415,0,0,Cers2
0,2.386267291288968,0.668,0.234,0,0,B3galt5
0,1.698624798085201,0.862,0.428,0,0,Phgdh
0,2.0897839015964434,0.689,0.256,0,0,St6galnac3
0,1.8095401278641927,0.594,0.215,0,0,Elmo1
0,2.124904194318778,0.646,0.283,0,0,Elovl1
0,1.6596236101836628,0.68,0.329,0,0,Csf1
0,2.1966847511720107,0.96,0.61,0,0,Lap3
0,2.650121720741496,0.465,0.128,0,0,Plin4
0,3.702786979348718,0.999,0.681,0,0,Gatm
0,1.0873472083572329,0.861,0.553,0,0,Srebf1
0,1.9509802386319717,0.936,0.633,0,0,Taldo1
0,1.5073165826935995,0.78,0.478,0,0,Abcg1
0,1.652142965526383,0.913,0.637,0,0,Rhob
0,1.6979048496489784,0.945,0.681,0,0,Bpgm
0,1.258558698799638,0.728,0.466,0,0,Degs1
0,1.32238251035466,0.891,0.67,0,0,Slc32a1
0,1.1857874135833693,0.455,0.235,0,0,Myo1e
0,1.1317128764037336,0.548,0.344,0,0,Hmgcl
0,0.8617085728943137,0.583,0.387,0,0,Acadl
0,1.4793568037080107,0.319,0.131,0,0,Pla2g4a
0,1.3759885812255688,0.359,0.183,0,0,G6pd2
0,0.2878401201824796,0.936,0.764,0,0,Cd63
0,0.9105708279512361,0.254,0.083,0,0,Tgfbi
0,0.7489632231592179,0.659,0.498,0,0,Cerk
0,2.0063245665433866,0.232,0.077,0,0,Plin3
0,1.7326869794436413,0.229,0.079,0,0,Aldh3b1
0,0.19007829635181706,0.651,0.506,0,0,Abca1
0,0.6183495784829616,0.754,0.614,0,0,Lta4h
0,1.6049351249777688,0.993,0.859,0,0,Bin1
0,0.42764186255030445,0.88,0.75,0,0,Bhlhe41
0,0.3223749890609575,0.903,0.784,0,0,Gfap
0,0.453512592119546,0.736,0.623,0,0,Nr1h2
0,0.36592814675337815,0.477,0.366,0,0,Serpina3n
0,0.9050802791266012,0.28,0.17,0,0,Acaa1a
0,0.31706783219800627,0.96,0.852,0,0,Lpgat1
0,0.4298072808146003,0.714,0.61,0,0,Cstb
0,0.4385112248478553,0.907,0.805,0,0,Hadha
0,3.1952201808759124,1,0.899,0,0,Mbp
0,0.5198217981565271,0.532,0.432,0,0,Bace1
0,0.4657524930859095,0.613,0.515,0,0,Acaca
0,0.4623827768061381,0.451,0.355,0,0,Lipa
0,0.6021667010816517,0.457,0.361,0,0,Pycr2
0,0.7341683193750497,0.306,0.21,0,0,Ebp
0,0.12620073695532819,0.886,0.794,0,0,Gstm1
0,0.5249148301612574,0.505,0.416,0,0,Adh5
0,0.8653773363848827,0.204,0.119,0,0,Vldlr
0,0.19310617510207706,0.781,0.704,0,0,Pcx
0,0.29758931593532845,0.894,0.818,0,0,Hadhb
0,0.6146284426467714,0.217,0.144,0,0,Dpyd
0,0.26023767296705147,0.913,0.844,0,0,Fasn
0,0.3955760227021481,0.164,0.095,0,0,Pou3f1
0,0.41467218362219205,0.964,0.912,0,0,Echs1
0,0.36148700821154467,0.983,0.932,0,0,Tjp1
0,1.2474608095265833,0.087,0.039,0,0,Camp
0,1.3411387512713304,0.077,0.032,0,0,Tdo2
0,1.3435488163482825,0.071,0.029,0,0,Cd247
0,0.3844469556899033,0.986,0.946,0,0,Fabp5
0,1.1791322662836423,0.072,0.032,0,0,Ms4a4b
0,1.3094842040663233,0.999,0.961,0,0,Glul
0,0.6513735998977945,0.996,0.96,0,0,Cd81
0,0.4351972552261736,0.989,0.954,0,0,Ftl1
