p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.41785359730818,0.965,0.477,0,0,Cst7
0,2.0074525448443996,0.832,0.393,0,0,Lpl
0,2.009226873272666,0.668,0.262,0,0,Ccl3
0,1.7651230645680964,0.76,0.355,0,0,Myo1e
0,1.4051005668025383,0.805,0.465,0,0,Axl
0,2.011508635162851,0.634,0.301,0,0,Cd74
0,1.9968239058573491,0.573,0.248,0,0,Itgax
0,1.5141765492008337,0.68,0.379,0,0,Csf1
0,1.7988873126518463,0.462,0.165,0,0,Clec7a
0,1.5088293276468405,0.761,0.512,0,0,rs7412-ALT-226:T
0,1.4659892450153085,0.612,0.366,0,0,Vim
0,1.921825650165456,0.335,0.107,0,0,Ch25h
0,1.486879667182563,0.401,0.191,0,0,Plin2
0,1.1306196342733563,0.497,0.297,0,0,rs7412-WT-226
0,2.0722545594367663,0.366,0.171,0,0,Gpnmb
0,0.9238912112758242,0.909,0.722,0,0,Lgals3bp
0,2.03131019693301,0.992,0.808,0,0,Lyz2
0,1.4214716343563705,0.957,0.783,0,0,Gusb
0,0.83193618772447675,0.648,0.475,0,0,Lipa
0,0.8053701718557761,0.676,0.519,0,0,Cstb
0,2.5813162415769857,0.279,0.122,0,0,Spp1
0,1.2024321607135375,0.967,0.81,0,0,Bcl2a1b
0,1.0958216003431498,0.951,0.822,0,0,Hif1a
0,0.6419426198502185,0.87,0.763,0,0,Pfkfb3
0,1.4434660348908457,0.997,0.891,0,0,Gfap
0,0.7547048718607563,0.952,0.862,0,0,Ly86
0,0.8924906075139947,0.965,0.883,0,0,Cd68
0,1.3610102923874106,0.999,0.939,0,0,Cd63
0,0.6968517346900827,0.978,0.919,0,0,Sgpl1
0,0.6311513136413871,0.97,0.917,0,0,Bhlhe41
0,0.6626901979306599,0.988,0.942,0,0,Sat1
0,0.49926319344254955,0.974,0.936,0,0,Ppt1
0,1.2610090719158342,0.996,0.962,0,0,Ctsl
0,0.8706038675298022,0.998,0.976,0,0,Uba52
0,1.470976089625598,0.999,0.979,0,0,Ctsb
