gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Lgals3bp,0.0032522474230081183,0.4940830994511076,1,1,1
rs7412-ALT-226:T,0.004527766067260512,0.9677354218896168,1,1,1
Ccl12,0.008438180567270488,0.6648897902465399,1,1,1
Ifit2,0.010067354201542537,0.39210639605813924,1,1,1
Cd74,0.0177943916908587,0.4223768586664418,1,1,1
Slc17a7,0.019567895423342134,0.3721070422501045,1,1,1
rs429358-WT-228,0.01965967784106146,1.4757527992950223,1,1,1
Otof,0.02152220527081728,-0.9214278278375208,1,1,1
Bhlhe40,0.028592710332016234,-0.22925602290841907,1,1,1
Ifit1,0.029758836094371036,0.44624007503536745,1,1,1
Tshz2,0.034875839093908366,-0.5404668150206657,1,1,1
Gatm,0.036175378550349455,-0.22956027420052472,1,1,1
Tubb2b,0.05394866575018193,0.29836959689528886,1,1,1
Lpcat2,0.05786994813039496,0.25081613423228877,1,1,1
Ttr,0.05915930846822908,-1.090020722723375,1,1,1
Ifitm3,0.05953362305976067,0.4329524309248023,1,1,1
Ly86,0.07961511382077947,0.28155416905962927,1,1,1
Ch25h,0.08170744447501421,-0.33998791256447225,1,1,1
Ccl5,0.08798519620834848,0.4719203061458608,1,1,1
Pla2g15,0.09369554547779822,0.23870289452544213,1,1,1
Syt6,0.09589541130276065,0.44238225289826516,1,1,1
Aldh1l1,0.09873262462104529,-0.25930444066335,1,1,1
Fasn,0.10492803932681243,-0.1866252205206247,1,1,1
P4ha1,0.13225074342091,0.25158287191280593,1,1,1
Junb,0.13485093523023067,-0.6394701170335941,1,1,1
Fabp5,0.14286783485973717,-0.2630898127728658,1,1,1
Wif1,0.14535527201665607,-0.7468830413893016,0.75,1,1
Ermn,0.14955868589624985,-0.32175993076439946,1,1,1
Apod,0.15715181234028694,-0.4213217903920783,1,1,1
Lrp1,0.16738521310603205,-0.10215780866089297,1,1,1
Khk,0.17076285583537362,0.3683280503229778,1,1,1
Tlr4,0.1738068212864571,0.13776243868725535,1,1,1
Vegfa,0.17434653869368916,0.30180436967929314,1,1,1
Klf6,0.1763476274525182,0.20546528599895808,1,1,1
Hif1a,0.18275069660208312,-0.13756906060338991,1,1,1
H2-Eb1,0.18349295545252975,0.37811339603569993,1,1,1
Ogdh,0.19466271244065006,-0.1450825448590125,1,1,1
Ldlr,0.19648778411380732,-0.3219219498560588,1,1,1
Adam10,0.1973178920503275,0.14876401356818647,1,1,1
Bcl2,0.2008572515161197,-0.2758471034677137,1,1,1
Slc17a6,0.20156597605845958,-0.4309300508764723,1,1,1
Me1,0.20179173396196515,0.14801464112023677,1,1,1
C1qa,0.2081128605861178,0.12808554210323653,1,1,1
Cxcl2,0.2146708523934906,-0.5850452307618668,0.75,1,1
Jund,0.21864837600056147,-0.20126419665426232,1,1,1
Lypd1,0.21959349525733338,-0.6110409441420623,1,1,1
Mapkapk2,0.22471969543248974,0.20639938715239703,1,1,1
Cstb,0.22579831532971734,-0.12514973552590636,1,1,1
Clec2d,0.2298641111093915,0.15831157972109433,1,1,1
Cnr1,0.23090300347338105,0.31947648755494207,1,1,1
Cpe,0.23400534663729655,-0.1488130765794704,1,1,1
Il1b,0.2340510774828016,-0.3483013739928593,1,1,1
Scg3,0.23460188479764835,-0.13998827709935702,1,1,1
Chst1,0.23752408174929796,-0.20602124674202216,1,1,1
Sat1,0.23997709438349263,0.12005297499195322,1,1,1
