gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
rs7412-ALT-226:T,1.7450262359180664e-31,2.6725659558400934,1,1,8.376125932406719e-29
rs429358-WT-228,1.39456794811797e-9,3.3928466916256843,1,1,6.693926150966256e-7
Ifit1,1.973082542537845e-9,1.1874844691330086,1,1,9.470796204181655e-7
Ctsd,4.5590319460530795e-9,0.2525544670211506,1,1,2.188335334105478e-6
Glud1,2.678166730972654e-8,-0.4094648767493787,1,1,1.285520030866874e-5
Cst7,3.429504149771778e-8,0.7636328051308192,1,1,1.6461619918904533e-5
Hexa,1.6013646546988353e-7,0.31496800362722155,1,1,7.68655034255441e-5
Ifit2,5.759952256113023e-7,1.1452860247055052,1,1,2.764777082934251e-4
H2-Eb1,1.1737394354948876e-6,1.466219440976041,1,1,5.63394929037546e-4
Cd63,3.0399331516762444e-6,0.4512931162362479,1,1,0.0014591679128045972
Itgax,3.5031232492010517e-6,0.7450541881233401,1,1,0.0016814991596165048
Bcl2a1b,1.1948180835280533e-5,0.27124619311041887,1,1,0.005735126800934656
Csf1,1.5374295919310563e-5,0.6330397731648154,1,1,0.00737966204126907
Cd74,6.628212801191136e-5,1.0971373256409125,1,1,0.03181542144571745
Opcml,1.2904516611642882e-4,-0.6982416028483582,1,1,0.06194167973588584
Rorb,1.4287193165135294e-4,-0.6418231744918945,1,1,0.06857852719264941
Maf,1.7684649389460307e-4,-0.49762004821191397,1,1,0.08488631706940947
Lgals3bp,1.9993261166064796e-4,0.7573168748914352,1,1,0.09596765359711103
Fut9,2.6616887794098614e-4,-0.5006576067335273,1,1,0.12776106141167334
Ftl1,3.32535557515142e-4,0.3876907996781611,1,1,0.15961706760726815
Gusb,4.677566102205714e-4,0.43392091697527757,1,1,0.22452317290587426
Ccl5,4.7448603903240327e-4,0.998340040430704,1,1,0.22775329873555356
Pf4,5.036274436314158e-4,0.7487635477932753,1,1,0.24174117294307956
Ccl12,5.652236211316679e-4,0.7837285845611837,1,1,0.2713073381432006
Tjp1,9.315827356711304e-4,-0.4024774306574006,1,1,0.4471597131221426
Axl,0.0011665712759842885,0.5768089405059262,1,1,0.5599542124724585
Spp1,0.0014157837897153804,1.6286706722753816,1,1,0.6795762190633826
Chst1,0.0014563931300512819,-0.4111529278072732,1,1,0.6990687024246153
Chsy1,0.0017253114805947057,-0.4420119445163653,1,1,0.8281495106854587
Soat1,0.002112356035300011,0.32948082444474736,1,1,1
Mdh2,0.0021719523877481257,-0.342953113984124,1,1,1
Lpl,0.0024912898840625097,0.5249075954342253,1,1,1
Junb,0.0025251806286548544,-0.7070602084069812,1,1,1
Calb2,0.002699017851916976,-1.50917098842395,1,1,1
Ifitm3,0.002722100703461492,0.8844322634547583,1,1,1
Lgals3,0.003998776477047781,0.6750463666944005,1,1,1
Trem2,0.004341373218192842,0.21940005222386638,1,1,1
Bin1,0.005031030039102197,-0.2956301613200836,1,1,1
Lum,0.0050349394836431294,0.43243229530999416,1,1,1
Grn,0.005877150453869997,0.25520864523182407,1,1,1
Prdx1,0.006000541901806216,0.10990450221648551,1,1,1
Sat1,0.00604439854853304,0.1845352028866758,1,1,1
C3,0.0061467456558575335,0.28237945354973837,1,1,1
Aldoc,0.006589468081225353,-0.4131655314107485,1,1,1
Sgpl1,0.008280499679916582,0.18501555575554374,1,1,1
Ch25h,0.009390757398337708,0.7599629879699759,1,1,1
Glul,0.010483279809893924,-0.43841844672128616,1,1,1
Cxcl10,0.010958901012361378,0.7464145296210883,1,1,1
Grin2a,0.012358788416802973,-0.6918941656155098,1,1,1
Hif1a,0.01256053010100785,0.22890684699809505,1,1,1
Tmem119,0.013094334990649291,-0.7922789060657278,1,1,1
Pcx,0.013506845140674337,-0.35261287617930526,1,1,1
Flt1,0.014019495995450763,0.4084713362132204,1,1,1
Phgdh,0.014620805816091008,-0.2909463183854859,1,1,1
Ly86,0.015347109786681351,0.2669792427772757,1,1,1
H2-Ab1,0.015645741767547943,0.7157074070460945,1,1,1
Dld,0.0176950686096657,-0.37933746529656487,1,1,1
Fasn,0.018674921350441555,-0.42083450510540743,1,1,1
Pfkfb3,0.018691901007564758,0.14906078873575535,1,1,1
Dcx,0.019215735781113276,-0.7410469558166262,1,1,1
Ctsl,0.019730845648707612,0.38097940880585757,1,1,1
Plin2,0.020444767266691647,0.45988260889664057,1,1,1
C1qa,0.02377209076464,0.2185734286472023,1,1,1
Got1,0.024945177870387036,-0.4187079899495201,1,1,1
Arsb,0.025484076017418127,0.13835055399310647,1,1,1
Gns,0.02617629012624575,0.20837412023022228,1,1,1
Cxcl12,0.026663565629843018,-0.6660937826365976,1,1,1
Gpnmb,0.026715935863740537,1.1674082662723375,1,1,1
Abhd17a,0.02672020260600888,-0.38976670470749974,1,1,1
Grin2b,0.026927804738914145,-0.6314496908991525,1,1,1
Il1r2,0.02772556802975574,-0.11281217650977804,1,1,1
