gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
rs7412-ALT-226:T,2.0193438346912525e-17,2.6845468446894047,1,1,9.692850406518013e-15
Pf4,6.48601261341275e-11,1.0585162904804641,1,1,3.11328605443812e-8
rs429358-WT-228,4.313056538883966e-9,3.4168009636270495,1,1,2.0702671386643037e-6
Opcml,3.581606733643747e-8,-0.8986117801210609,1,1,1.7191712321489986e-5
Chst1,1.7508139172318172e-7,-0.5938932230602818,1,1,8.403906802712723e-5
Spp1,2.732700556832912e-6,1.9436669033665024,1,1,0.001311696267279798
Grin2a,2.2413680487059202e-5,-0.9037680315229499,1,1,0.010758566633788417
Ch25h,9.69326269337304e-5,1.295287583112306,1,1,0.04652766092819059
Apoc4,1.2090174272777555e-4,1.5806616833588591,1,1,0.05803283650933226
Grin2b,2.3234932346163144e-4,-0.9067385327521724,1,1,0.1115276752615831
Soat1,3.6281143062360735e-4,0.35111119465631146,1,1,0.17414948669933153
Csf1,4.2090806646338227e-4,0.7770027420623302,1,1,0.2020358719024235
Flt1,4.523667876458815e-4,0.5355551832413479,1,1,0.21713605807002312
Bin1,4.8107290587937616e-4,-0.3821538815269925,1,1,0.23091499482210057
Grn,5.133295289414238e-4,0.27188526640523314,1,1,0.24639817389188345
Cnr1,6.924955794313948e-4,-0.9105537904786467,1,1,0.3323978781270695
Maf,7.221444605187253e-4,-0.5433112686561543,1,1,0.3466293410489882
Fabp5,0.001250610343476327,0.4475482108600861,1,1,0.6002929648686369
Mdh2,0.0012617736721313236,-0.3761697566297446,1,1,0.6056513626230353
Prdx1,0.001262962866837725,0.13626725556171504,1,1,0.6062221760821079
Etnk1,0.0019017864269005244,-0.31160454403379756,1,1,0.9128574849122517
Rxrb,0.001995842540602206,-0.3864422746111513,1,1,0.9580044194890589
Ids,0.0021220539527752667,-0.5971001205503219,1,1,1
Dgat2,0.0021794026331036303,-0.6679458159871432,1,1,1
Cd63,0.0022615481132835877,0.6231094700269617,1,1,1
Gusb,0.002409247747394436,0.5954260035507701,1,1,1
Lpcat2,0.0025675339503046673,-0.5711401129372984,1,1,1
Cst7,0.0026577794888078925,1.0167649139365604,1,1,1
Dld,0.0030739087348361283,-0.42198407313584907,1,1,1
Hadhb,0.003089800462285792,0.058154011272812056,1,1,1
Wif1,0.0035454562656404625,0.3473946162086584,1,1,1
Itgax,0.003595514740127696,0.9875484031583945,1,1,1
H2-Eb1,0.00479281348477298,1.177499917283068,1,1,1
