#Selection names: 4s2_F1, 4s2M_F2, 4s2M_F1
#Areas (µm^2): 27180097.8, 14559513.7, 26957824.5
Selection,X,Y,Class,Color
4s2_F1,1622.0168648171928,1631.103977120073,samples,#c2c2c2
4s2_F1,1688.421938233832,1559.2507403161903,samples,#c2c2c2
4s2_F1,1763.6244558085605,1483.8695944336835,samples,#c2c2c2
4s2_F1,1932.919434505589,1375.0402979196613,samples,#c2c2c2
4s2_F1,2048.983177484638,1321.8983763555718,samples,#c2c2c2
4s2_F1,2153.0341667655866,1260.2716101720055,samples,#c2c2c2
4s2_F1,2217.8315854122197,1227.2253732329918,samples,#c2c2c2
4s2_F1,2415.6177791999125,1128.533233185397,samples,#c2c2c2
4s2_F1,2519.7580826347494,1087.3147511655186,samples,#c2c2c2
4s2_F1,2595.0945714403133,1045.6496983761947,samples,#c2c2c2
4s2_F1,2903.00511697342,922.8873938554533,samples,#c2c2c2
4s2_F1,3073.193237209341,852.0166127443521,samples,#c2c2c2
4s2_F1,3258.65407776032,765.8284542412492,samples,#c2c2c2
4s2_F1,3354.1755653448467,733.273445148626,samples,#c2c2c2
4s2_F1,3526.4179111202197,692.6801622059727,samples,#c2c2c2
4s2_F1,3830.845204651648,622.8811509415424,samples,#c2c2c2
4s2_F1,4076.2358424622967,594.8365066203253,samples,#c2c2c2
4s2_F1,4168.408049275979,590.728055541421,samples,#c2c2c2
4s2_F1,4371.106521527576,609.9752557045493,samples,#c2c2c2
4s2_F1,4585.814534786941,604.6189417456121,samples,#c2c2c2
4s2_F1,4667.187454208461,613.3381879988954,samples,#c2c2c2
4s2_F1,4765.092708904684,618.7952682174631,samples,#c2c2c2
4s2_F1,4879.482685465054,670.1729954258877,samples,#c2c2c2
4s2_F1,5088.879719258344,687.455284203453,samples,#c2c2c2
4s2_F1,5170.512855913098,724.7886005291496,samples,#c2c2c2
4s2_F1,5302.29588997665,844.0676530482112,samples,#c2c2c2
4s2_F1,5372.630786164416,946.1090738666524,samples,#c2c2c2
4s2_F1,5424.566966651001,1076.1504819293655,samples,#c2c2c2
4s2_F1,5459.890714514191,1199.13607183483,samples,#c2c2c2
4s2_F1,5483.871564833447,1349.2731645226197,samples,#c2c2c2
4s2_F1,5483.871564833447,1480.564970739782,samples,#c2c2c2
4s2_F1,5481.28145437066,1592.8328621785397,samples,#c2c2c2
4s2_F1,5470.206499288396,1722.249071164028,samples,#c2c2c2
4s2_F1,5448.011932046923,1781.1964127309175,samples,#c2c2c2
4s2_F1,5385.804623863077,2083.524823645948,samples,#c2c2c2
4s2_F1,5369.549447855238,2280.998417895028,samples,#c2c2c2
4s2_F1,5369.549447855238,2291.4035168231226,samples,#c2c2c2
4s2_F1,5376.248009396931,2403.8053794927146,samples,#c2c2c2
4s2_F1,5415.948150800691,2630.350730832736,samples,#c2c2c2
4s2_F1,5421.217685880155,2661.119456847575,samples,#c2c2c2
4s2_F1,5437.026291118548,2733.1513219592357,samples,#c2c2c2
4s2_F1,5459.042230052242,2921.8721291271704,samples,#c2c2c2
4s2_F1,5462.3915108230885,3120.774749838478,samples,#c2c2c2
4s2_F1,5480.343655754824,3253.450925440923,samples,#c2c2c2
4s2_F1,5482.978423294556,3366.165387649127,samples,#c2c2c2
4s2_F1,5482.978423294556,3414.707630287921,samples,#c2c2c2
4s2_F1,5466.723247286716,3458.4715656936423,samples,#c2c2c2
4s2_F1,5424.968880343502,3604.008979456136,samples,#c2c2c2
4s2_F1,5424.968880343502,3655.5879033271635,samples,#c2c2c2
4s2_F1,5415.769522492912,3737.5782965974736,samples,#c2c2c2
4s2_F1,5348.248022152658,4077.0167384534775,samples,#c2c2c2
4s2_F1,5331.769560760095,4170.350029267719,samples,#c2c2c2
4s2_F1,5326.58933983452,4186.024663275279,samples,#c2c2c2
4s2_F1,5285.683457353254,4306.956027641291,samples,#c2c2c2
4s2_F1,5240.62446671614,4456.735863713522,samples,#c2c2c2
4s2_F1,5189.670741922337,4641.482191033388,samples,#c2c2c2
4s2_F1,5163.3677236019585,4735.887251694299,samples,#c2c2c2
4s2_F1,5148.228974517738,4804.793121419838,samples,#c2c2c2
4s2_F1,5101.562329110614,5002.7579435153075,samples,#c2c2c2
4s2_F1,5033.996171693416,5348.2697478357795,samples,#c2c2c2
4s2_F1,5018.276880608912,5479.874153591554,samples,#c2c2c2
4s2_F1,5005.281671218028,5513.724217915571,samples,#c2c2c2
4s2_F1,4979.291252436264,5567.982566403276,samples,#c2c2c2
4s2_F1,4928.471498873294,5654.349353214158,samples,#c2c2c2
4s2_F1,4880.8223977733915,5750.228097414243,samples,#c2c2c2
4s2_F1,4850.142985912443,5821.768734679512,samples,#c2c2c2
4s2_F1,4793.651783577508,5937.0733073505035,samples,#c2c2c2
4s2_F1,4737.830437396741,6044.518234479243,samples,#c2c2c2
4s2_F1,4680.669378907636,6177.149753004744,samples,#c2c2c2
4s2_F1,4622.704493033528,6339.1656281598,samples,#c2c2c2
4s2_F1,4552.190968537983,6567.0953488851055,samples,#c2c2c2
4s2_F1,4527.093691295112,6637.698187534538,samples,#c2c2c2
4s2_F1,4506.37280759281,6671.548251858555,samples,#c2c2c2
4s2_F1,4433.447800942257,6735.854442658799,samples,#c2c2c2
4s2_F1,4381.5116204556725,6764.077715287794,samples,#c2c2c2
4s2_F1,4285.811504563367,6798.329693304312,samples,#c2c2c2
4s2_F1,4185.690338053544,6816.058552851323,samples,#c2c2c2
4s2_F1,3853.3523714317316,6816.058552851323,samples,#c2c2c2
4s2_F1,3579.247233145696,6816.058552851323,samples,#c2c2c2
4s2_F1,3471.0431357089,6767.873566828086,samples,#c2c2c2
4s2_F1,3347.9682316495464,6692.269135560856,samples,#c2c2c2
4s2_F1,3237.8438799041287,6630.508398146457,samples,#c2c2c2
4s2_F1,3090.2968976791276,6534.317054407758,samples,#c2c2c2
4s2_F1,3013.4420682574487,6468.0459522219535,samples,#c2c2c2
4s2_F1,2995.2666379409925,6446.967811904097,samples,#c2c2c2
4s2_F1,2964.5425690030975,6395.344230956123,samples,#c2c2c2
4s2_F1,2948.957249149428,6376.900858178,samples,#c2c2c2
4s2_F1,2943.7323711469076,6376.900858178,samples,#c2c2c2
4s2_F1,2715.222108421322,6461.258076526373,samples,#c2c2c2
4s2_F1,2512.8362357083347,6531.682286868027,samples,#c2c2c2
4s2_F1,2319.4710925381605,6620.817812449475,samples,#c2c2c2
4s2_F1,2182.9990653954237,6668.6901989340995,samples,#c2c2c2
