#Selection names: 4s2_F2, 4s2_F3, 4s2M_F3, 4s2M_F4
#Areas (µm^2): 31293112.3, 33774633.9, 34210131.1, 30623218.5
Selection,X,Y,Class,Color
4s2_F2,2095.77543852109,8679.533241510995,samples,#c2c2c2
4s2_F2,2101.9254426864295,8677.483240122547,samples,#c2c2c2
4s2_F2,2249.247576364611,8656.635768375638,samples,#c2c2c2
4s2_F2,2265.6475874721823,8654.585766987186,samples,#c2c2c2
4s2_F2,2323.4645757836197,8654.585766987186,samples,#c2c2c2
4s2_F2,2388.09173819905,8654.585766987186,samples,#c2c2c2
4s2_F2,2434.4078712634396,8654.585766987186,samples,#c2c2c2
4s2_F2,2481.2799369077484,8654.585766987186,samples,#c2c2c2
4s2_F2,2585.6562787872895,8654.585766987186,samples,#c2c2c2
4s2_F2,2657.371581596669,8654.585766987186,samples,#c2c2c2
4s2_F2,2813.1369413323496,8665.356960723095,samples,#c2c2c2
4s2_F2,2889.9251289334784,8683.251040639192,samples,#c2c2c2
4s2_F2,2962.6133137577135,8690.895113613062,samples,#c2c2c2
4s2_F2,3060.2837188919975,8714.452756687075,samples,#c2c2c2
4s2_F2,3190.093976302774,8729.28920741363,samples,#c2c2c2
4s2_F2,3236.827058802101,8735.89090680015,samples,#c2c2c2
4s2_F2,3399.194117924305,8759.761261950365,samples,#c2c2c2
4s2_F2,3530.4984441436086,8779.983309544867,samples,#c2c2c2
4s2_F2,3677.2993910281175,8798.572305185868,samples,#c2c2c2
4s2_F2,3710.0994132432597,8808.648583196871,samples,#c2c2c2
4s2_F2,3758.0485982611576,8835.68080489537,samples,#c2c2c2
4s2_F2,3797.137607786619,8853.01895223155,samples,#c2c2c2
4s2_F2,3829.520680566824,8861.635907220276,samples,#c2c2c2
4s2_F2,4067.56406213032,8901.176611966921,samples,#c2c2c2
4s2_F2,4113.6022289047505,8909.376617520706,samples,#c2c2c2
4s2_F2,4190.8073659408155,8959.271566568314,samples,#c2c2c2
4s2_F2,4281.493868039886,9029.319071637941,samples,#c2c2c2
4s2_F2,4352.687984055593,9056.351293336436,samples,#c2c2c2
4s2_F2,4381.38800349384,9072.508083940298,samples,#c2c2c2
4s2_F2,4542.677943242457,9180.70646230677,samples,#c2c2c2
