#Selection name: 4s2M_F3
#Area (µm^2): 34210131.15
Cell ID,Cluster,Transcripts,Area (µm^2)
oiiofjlm-1,Cluster 7,0,187.04
oekmohoh-1,Cluster 4,0,153.85
ndgfoama-1,Cluster 11,0,604.96
nihkhmgm-1,Cluster 16,0,87.51
hogdeepc-1,Cluster 17,0,121.47
njnehkfj-1,Cluster 4,0,171.41
hnjgcfmp-1,Cluster 2,0,325.89
nekghjpj-1,Cluster 8,0,198.82
nemjnmnl-1,Cluster 8,0,28.00
nemoddil-1,Cluster 8,0,152.36
nemopfbo-1,Cluster 8,0,60.01
nenakmed-1,Cluster 16,0,150.42
nempnakh-1,Cluster 8,0,89.82
nemoamoi-1,Cluster 8,0,126.89
nemonhjj-1,Cluster 8,0,87.65
nempefpm-1,Cluster 8,0,67.96
nempbhbd-1,Cluster 8,0,145.49
nekghcdk-1,Cluster 8,0,131.04
nenakipp-1,Cluster 8,0,92.71
nemokkmk-1,Cluster 8,0,198.82
nekgalch-1,Cluster 8,0,169.74
nemokakg-1,Cluster 8,0,103.63
nekfpaib-1,Cluster 8,0,177.96
nemokmcp-1,Cluster 8,0,188.17
nemokdmd-1,Cluster 8,0,66.52
nekgefjc-1,Cluster 8,0,73.97
nemlchbg-1,Cluster 8,0,103.14
nemlajje-1,Cluster 12,0,353.53
nemkjjec-1,Cluster 8,0,16.89
nemknkpi-1,Cluster 8,0,193.99
nenbeefb-1,Cluster 5,0,222.08
nemlbjba-1,Cluster 8,0,98.98
nemkepaj-1,Cluster 8,0,63.13
nencokfg-1,Cluster 8,0,72.88
nemlcmok-1,Cluster 24,0,215.03
nemjoeko-1,Cluster 8,0,76.36
nemkeafl-1,Cluster 8,0,87.96
nenacldn-1,Cluster 4,0,225.42
nencdldo-1,Cluster 5,0,296.18
nenacanl-1,Cluster 16,0,184.82
nemljgep-1,Cluster 8,0,66.11
nemkedge-1,Cluster 8,0,163.33
nendaahe-1,Cluster 5,0,29.53
nemlmkkc-1,Cluster 8,0,205.14
nencadaf-1,Cluster 8,0,174.75
nemlniii-1,Cluster 10,0,156.87
nencddnd-1,Cluster 8,0,187.94
nendkcfl-1,Cluster 5,0,89.23
nenbiefn-1,Cluster 8,0,172.72
nencocoh-1,Cluster 8,0,53.56
neneapjj-1,Cluster 17,0,179.59
nemogiea-1,Cluster 8,0,102.78
nencgdbk-1,Cluster 8,0,82.59
nemlpkfl-1,Cluster 8,0,71.48
nemmcnnc-1,Cluster 8,0,260.96
nenckpde-1,Cluster 8,0,117.72
nemmddek-1,Cluster 8,0,180.76
nemmfoac-1,Cluster 17,0,73.47
nemmgaop-1,Cluster 8,0,114.61
nemnanea-1,Cluster 8,0,48.50
nemndjbk-1,Cluster 8,0,114.47
nencmajo-1,Cluster 8,0,56.81
nenbggfj-1,Cluster 5,0,48.81
nenbemid-1,Cluster 16,0,238.47
