#Selection name: 4s2_F2
#Area (µm^2): 31293112.30
Cell ID,Cluster,Transcripts,Area (µm^2)
lfgoabmp-1,Cluster 8,0,170.24
lfgnnbed-1,Cluster 8,0,110.72
lfgoflmg-1,Cluster 8,0,183.65
lfgjjpmo-1,Cluster 8,0,85.62
lfgjbhji-1,Cluster 8,0,75.68
lfgnemoo-1,Cluster 8,0,193.27
lfgjkhpn-1,Cluster 8,0,317.54
lfgjpgbk-1,Cluster 8,0,171.77
lfgipeol-1,Cluster 8,0,181.62
lfgohgol-1,Cluster 8,0,215.40
ejghjjij-1,Cluster 8,0,19.06
ejghhobn-1,Cluster 8,0,59.29
ejghodif-1,Cluster 8,0,53.51
ejgigbme-1,Cluster 8,0,94.60
ejgfnlec-1,Cluster 24,0,159.63
ejggflmp-1,Cluster 24,0,187.49
ejgfphmi-1,Cluster 8,0,96.54
ejgfdnbo-1,Cluster 10,0,217.52
ejgfpcfb-1,Cluster 8,0,127.25
ejgebkcp-1,Cluster 8,0,167.57
ejgdhdkn-1,Cluster 8,0,177.33
ejgeabpa-1,Cluster 17,0,67.37
ejgdpekn-1,Cluster 8,0,239.69
ejgdhbcn-1,Cluster 8,0,214.36
ejeepfoa-1,Cluster 8,0,87.69
ejeemdoe-1,Cluster 8,0,160.94
ejeedefk-1,Cluster 8,0,143.42
ejggajjk-1,Cluster 24,0,136.73
ejggacmp-1,Cluster 16,0,117.41
ejghhjgj-1,Cluster 8,0,102.91
lfhhchdg-1,Cluster 11,0,236.98
lfhhcgai-1,Cluster 11,0,207.04
ejhcbklk-1,Cluster 5,0,205.91
ejhbpnba-1,Cluster 5,0,121.11
ejhbfbkd-1,Cluster 4,0,148.47
ejghdaoe-1,Cluster 8,0,29.35
lfhhglee-1,Cluster 5,0,233.55
lfhhfefi-1,Cluster 5,0,291.66
lfhhjfcd-1,Cluster 16,0,171.46
lfglapan-1,Cluster 8,0,85.80
lfgldmkp-1,Cluster 18,0,161.12
lfhhlnlc-1,Cluster 11,0,311.49
lfglopjg-1,Cluster 10,0,222.85
lfhhppcm-1,Cluster 7,0,119.62
lfgkfdgo-1,Cluster 5,0,239.28
lfhmapkk-1,Cluster 4,0,152.27
lfhmbkdj-1,Cluster 7,0,163.01
ejgbambn-1,Cluster 16,0,209.16
lfhmbhoh-1,Cluster 10,0,126.57
lfhhgnmk-1,Cluster 8,0,182.07
lfglopnc-1,Cluster 5,0,220.36
ejgbleaa-1,Cluster 4,0,165.72
lfglpmlp-1,Cluster 18,0,160.71
lfgjafif-1,Cluster 16,0,202.35
ejgccpjm-1,Cluster 18,0,181.98
ejgchjpb-1,Cluster 8,0,141.56
lfhhmbpj-1,Cluster 8,0,144.27
lfgmdmij-1,Cluster 8,0,286.65
lfhmfcpe-1,Cluster 10,0,84.76
lfgogcma-1,Cluster 8,0,245.38
lfgkncjn-1,Cluster 18,0,214.22
lfgmhiio-1,Cluster 8,0,75.73
ejggmckl-1,Cluster 8,0,167.12
ejghammn-1,Cluster 8,0,91.08
lfgmbjdp-1,Cluster 8,0,162.11
ejggjked-1,Cluster 8,0,45.47
lfhhbmka-1,Cluster 11,0,171.73
ejgijpnj-1,Cluster 24,0,95.69
ejgilgdd-1,Cluster 8,0,60.55
ejghfodf-1,Cluster 8,0,103.45
ejgffgbp-1,Cluster 8,0,128.06
ejghcgcc-1,Cluster 8,0,47.73
ejgjapfn-1,Cluster 8,0,42.13
lfgmiiap-1,Cluster 24,0,136.06
ejgkdcpe-1,Cluster 8,0,58.25
ejgimnhi-1,Cluster 8,0,40.41
ejgjekbh-1,Cluster 8,0,99.48
lfhlpicl-1,Cluster 11,0,258.02
ejgfflnl-1,Cluster 8,0,81.46
ejgkfdke-1,Cluster 8,0,41.32
ejgkfngj-1,Cluster 8,0,45.29
ejglkmdj-1,Cluster 8,0,45.70
ejgkooko-1,Cluster 4,0,113.03
lfhmhhjo-1,Cluster 16,0,108.69
ejgbjebi-1,Cluster 5,0,168.52
lfhpckem-1,Cluster 7,0,227.27
lfhpnban-1,Cluster 11,0,203.29
lfiabdhl-1,Cluster 3,0,115.96
lffohhpl-1,Cluster 7,0,139.08
lfhoaoce-1,Cluster 7,0,145.40
lfhphkog-1,Cluster 11,0,245.56
lfgbhkln-1,Cluster 8,0,162.07
lfhomplo-1,Cluster 3,0,241.86
ejhdcenj-1,Cluster 4,0,120.39
ejgmeekb-1,Cluster 18,0,160.03
ejgdnadk-1,Cluster 8,0,163.60
lffohaca-1,Cluster 2,0,223.98
lfhpeknj-1,Cluster 2,0,279.74
ejhbchik-1,Cluster 4,0,216.84
lffpiljg-1,Cluster 13,0,95.37
lfgadago-1,Cluster 10,0,121.79
lfgadhlm-1,Cluster 7,0,99.84
lfgahplb-1,Cluster 11,0,218.06
lfgajcni-1,Cluster 10,0,243.21
lffpkeih-1,Cluster 11,0,171.91
ejhbebnf-1,Cluster 5,0,135.65
lfhodbmp-1,Cluster 11,0,144.77
ejhdaidp-1,Cluster 5,0,275.95
ejhckgmj-1,Cluster 8,0,126.66
ejhcclel-1,Cluster 16,0,196.97
lfhplgbp-1,Cluster 4,0,184.46
ejgmbhah-1,Cluster 5,0,104.85
ejhbnieh-1,Cluster 5,0,158.90
lfhodkjp-1,Cluster 7,0,122.92
lfhombbj-1,Cluster 11,0,328.56
lfhmjdmc-1,Cluster 16,0,161.03
lfhmghjc-1,Cluster 11,0,97.85
lfhgpnao-1,Cluster 2,0,249.31
lfhompnp-1,Cluster 11,0,221.04
ejhanook-1,Cluster 4,0,231.74
ejgdgnal-1,Cluster 24,0,110.23
lfhhieia-1,Cluster 7,0,171.28
lfhgnlmi-1,Cluster 11,0,209.34
lfhogdfm-1,Cluster 7,0,129.96
lfhgkbgf-1,Cluster 11,0,204.02
ejgfglmc-1,Cluster 8,0,248.22
ejgchijj-1,Cluster 4,0,231.74
ejgalfpj-1,Cluster 4,0,197.33
lfhnppjn-1,Cluster 11,0,317.58
ejgbmhkh-1,Cluster 4,0,134.34
lhbpnbeg-1,Cluster 8,0,103.63
lhaknnnj-1,Cluster 11,0,273.38
lfgndnkc-1,Cluster 4,0,143.19
lfhlmalm-1,Cluster 11,0,316.55
lfhbfjac-1,Cluster 4,0,149.42
lfhmnoio-1,Cluster 9,0,118.99
lfhnhinp-1,Cluster 11,0,165.54
lhamaoff-1,Cluster 11,0,272.20
lhalenpc-1,Cluster 11,0,133.03
lfgmilon-1,Cluster 5,0,141.66
lfhblbdm-1,Cluster 5,0,212.23
lhakolof-1,Cluster 11,0,192.77
lhahknee-1,Cluster 11,0,266.11
lhalohip-1,Cluster 16,0,175.57
lhalkbjf-1,Cluster 11,0,279.88
lhakokgi-1,Cluster 11,0,211.15
lfhlkkdo-1,Cluster 4,0,193.45
lfhndpie-1,Cluster 9,0,152.04
lhahokpm-1,Cluster 11,0,174.80
lfhmjbol-1,Cluster 11,0,271.16
lhalanjc-1,Cluster 11,0,231.34
lhalokdc-1,Cluster 11,0,255.22
lfhmmocm-1,Cluster 11,0,311.62
lfhmlopd-1,Cluster 7,0,177.28
lhahobno-1,Cluster 7,0,114.97
lfiameif-1,Cluster 11,0,251.57
lfhnenjh-1,Cluster 11,0,228.67
lfhneheo-1,Cluster 4,0,130.64
lfhmfinl-1,Cluster 7,0,98.26
lfhncepk-1,Cluster 4,0,167.98
lfhloklk-1,Cluster 10,0,149.29
lfhlnnbk-1,Cluster 11,0,255.63
lfgnaipj-1,Cluster 4,0,86.43
lfgpgfbo-1,Cluster 18,0,139.49
lfhafdln-1,Cluster 10,0,232.96
lfgmmcfo-1,Cluster 4,0,160.71
lfgomkmm-1,Cluster 4,0,105.71
lfgpagpp-1,Cluster 4,0,214.76
lfgolede-1,Cluster 8,0,140.07
lfgjbekl-1,Cluster 8,0,63.99
lfgiomne-1,Cluster 24,0,137.50
lfgjeemd-1,Cluster 24,0,175.21
lfgomdla-1,Cluster 8,0,206.45
lfgohndk-1,Cluster 8,0,280.83
lfgjjlnm-1,Cluster 8,0,177.33
lfgojcbb-1,Cluster 8,0,207.54
lfgjglpo-1,Cluster 8,0,193.22
lhcaenbj-1,Cluster 8,0,82.23
lfgimeop-1,Cluster 8,0,119.66
lhbokibo-1,Cluster 8,0,228.85
lfgimmej-1,Cluster 8,0,46.69
lhbpnndj-1,Cluster 4,0,150.73
lhcailce-1,Cluster 8,0,185.10
lfghpaje-1,Cluster 24,0,137.59
lfhbcble-1,Cluster 16,0,241.90
lhcajffg-1,Cluster 16,0,152.58
lfhcadno-1,Cluster 10,0,266.96
lhbpkged-1,Cluster 8,0,140.39
lhbokpng-1,Cluster 8,0,59.61
lhbomefe-1,Cluster 8,0,159.27
lhbooofd-1,Cluster 8,0,115.24
lfhagjkn-1,Cluster 4,0,178.73
lhbolbia-1,Cluster 8,0,158.72
lfhbmcei-1,Cluster 5,0,203.47
lfhaomfl-1,Cluster 16,0,197.74
lfgimdpi-1,Cluster 5,0,91.17
lfgilehf-1,Cluster 16,0,117.09
lfhbbcpb-1,Cluster 16,0,159.76
lfhalkfe-1,Cluster 8,0,182.79
lhboklpj-1,Cluster 8,0,319.25
lfgilnca-1,Cluster 8,0,144.36
lfhajbek-1,Cluster 8,0,128.38
lfhajjjm-1,Cluster 8,0,205.82
lfhajnlp-1,Cluster 5,0,202.16
lfgimepf-1,Cluster 8,0,288.23
lfgignkp-1,Cluster 5,0,140.17
lfhakjfl-1,Cluster 24,0,144.09
lhbofoba-1,Cluster 8,0,102.55
lfhaknbd-1,Cluster 8,0,120.25
lhbmabae-1,Cluster 4,0,183.11
lhakioig-1,Cluster 11,0,166.94
lhandkmo-1,Cluster 11,0,165.68
lhakjhni-1,Cluster 7,0,80.20
lhaipfbi-1,Cluster 11,0,276.54
lhajiile-1,Cluster 11,0,200.54
